y,x1,x2,x3,x4,x5
368.3,0.29,24.2,2.5,38,43
379.9,0.3,24.2,2.5,38,43
368.3,0.29,24.2,2.5,38,43
379.9,0.3,24.2,2.5,38,43
376.3,0.29,24.2,2.5,44,56
376.3,0.29,24.2,2.5,44,56
376.3,0.284,24.2,2.5,44,56
374.5,0.278,24,2.5,70,78
374.5,0.278,24,2.5,70,78
374.3,0.278,24,2.5,70,78
375.3,0.278,24,2.5,86,85
369.1,0.28,23.9,2.5,87,60
369.1,0.28,23.9,2.5,87,60
367.1,0.274,23.6,2.5,106,66
375.3,0.287,23.4,2.5,106,66
378.3,0.287,23.4,2.5,106,66
378.3,0.287,23.4,2.5,106,66
378.3,0.287,23.4,2.5,106,66
365.1,0.28,24.1,2.5,89,66
365.1,0.28,24.1,2.5,89,66
365.1,0.28,24.1,2.5,89,66
365.1,0.28,24.1,2.5,94,68
370.2,0.28,24.1,2.5,94,68
370.1,0.277,24.3,2.5,91,67
370.1,0.277,24.3,2.5,91,67
370.1,0.277,24.3,2.5,91,67
369.3,0.269,24,2.5,114,66
373,0.269,24.2,2.5,101,86
366.9,0.266,24.2,2.5,101,86
369.7,0.266,24.2,2.5,101,86
369.8,0.28,24.5,2.5,105,77
369.8,0.28,24.5,2.5,105,77
369.6,0.28,24.2,2.5,105,77
369.6,0.28,24.2,2.5,105,77
369.6,0.28,24.2,2.5,114,90
369.5,0.28,23.9,2.5,114,90
369.8,0.284,23.6,2.5,114,90
369.6,0.28,24.2,2.5,114,90
376.2,0.288,23.6,2.5,129,88
372.8,0.284,23.3,2.5,129,88
369.8,0.288,23.3,2.5,131,84
369.8,0.288,23.3,2.5,131,84
397.4,0.326,23,2.5,131,84
371.3,0.287,23.2,2.5,107,64
371.3,0.287,23.2,2.5,107,64
371.9,0.287,23.2,2.5,107,64
376.2,0.287,23.3,2.5,118,73
378.2,0.287,23.3,2.5,118,73
397.4,0.326,23,2.5,118,73
397.4,0.326,23,2.5,118,73
369.8,0.285,23.2,2.5,115,71
369.8,0.285,23.2,2.5,115,71
371,0.252,24.7,2.5,102,58
371,0.252,24.7,2.5,102,58
371,0.252,24.7,2.5,102,58
371,0.252,24.7,2.5,102,58
367.5,0.25,24.7,2.5,107,59
367.5,0.25,24.7,2.5,107,59
367.5,0.25,24.7,2.5,107,59
367.5,0.25,24.7,2.5,107,59
394.7,0.305,23.1,2.5,107,59
377.4,0.288,23.9,2.5,112,78
385.1,0.293,23.8,2.5,112,78
372.4,0.279,23.9,2.5,114,77
372.4,0.279,23.9,2.5,114,77
376.1,0.279,23.9,2.5,116,80
376.3,0.272,24.2,2.5,90,70
376.3,0.272,24.2,2.5,90,70
376.3,0.272,24.2,2.5,95,73
376.3,0.276,24.2,2.5,95,73
376.3,0.276,24.2,2.5,95,73
380.7,0.284,23.8,2.5,95,73
380.7,0.284,23.8,2.5,95,73
381,0.289,23.5,2.5,95,73
381,0.289,23.5,2.5,95,73
382.5,0.282,24.7,2.5,85,67
382.5,0.282,24.7,2.5,85,67
379.4,0.288,23.8,2.5,104,74
379.4,0.288,23.8,2.5,104,74
378.5,0.288,23.8,2.5,109,74
394.5,0.301,24,2.5,97,58
394.5,0.301,24,2.5,97,58
394.7,0.305,23.1,2.5,97,58
413.5,0.336,23.8,2.5,97,58
362.9,0.262,24.1,2.5,112,74
362.9,0.262,24.1,2.5,112,74
358.8,0.262,24.1,2.5,112,74
358.8,0.262,24.1,2.5,112,74
358.8,0.262,24.1,2.5,112,74
368.4,0.267,24.1,2.5,112,74
365.9,0.267,24.1,2.5,112,74
368.4,0.267,24.1,2.5,112,74
370.2,0.284,23.8,2.5,112,74
365.9,0.267,24.1,2.5,132,82
365.9,0.267,24.1,2.5,132,82
361.7,0.267,23.9,2.5,132,82
365.7,0.268,23.9,2.5,137,79
373.1,0.284,23.8,2.5,137,79
373.1,0.284,23.8,2.5,137,79
373.1,0.284,23.8,2.5,137,79
374.4,0.284,23.8,2.5,137,79
373.1,0.284,23.8,2.5,137,79
399.1,0.322,22.4,2.5,137,79
364.2,0.267,23.9,2.5,125,77
366,0.267,23.9,2.5,125,77
366,0.267,23.9,2.5,125,77
364.2,0.267,23.9,2.5,125,77
376.4,0.289,24.5,2.5,135,76
376.4,0.289,24.5,2.5,135,76
376.4,0.289,24.5,2.5,135,76
370.8,0.28,24.5,2.5,121,77
370.8,0.28,24.5,2.5,121,77
370.8,0.28,24.5,2.5,121,77
374.1,0.289,24.5,2.5,130,81
370.2,0.289,24.5,2.5,133,76
370.2,0.289,24.5,2.5,133,76
376.5,0.289,24.5,2.5,133,76
376.4,0.289,24.5,2.5,126,74
373.4,0.289,24.5,2.5,126,74
376.1,0.279,23.9,2.5,126,74
371.4,0.282,24.5,2.5,124,80
378.7,0.297,23.2,2.5,124,80
378.7,0.297,23.2,2.5,124,80
385.7,0.312,23,2.5,124,80
385.7,0.312,23,2.5,124,80
385.7,0.312,23,2.5,124,80
385.7,0.312,23,2.5,124,80
385.7,0.312,23,2.5,124,80
390.1,0.315,23.2,2.5,124,80
390.1,0.315,23.2,2.5,124,80
390.1,0.315,23.2,2.5,124,80
371.4,0.282,24.5,2.5,126,76
374.2,0.282,24.5,2.5,126,76
374.2,0.282,24.5,2.5,135,79
372.1,0.278,24.5,2.5,135,79
371.3,0.278,24.5,2.5,140,77
371.1,0.278,24.5,2.5,145,75
371.1,0.278,24.5,2.5,145,75
372.7,0.281,24.7,2.5,146,78
372.7,0.281,24.7,2.5,146,78
372.7,0.281,24.7,2.5,146,78
374.9,0.283,24.7,2.5,146,78
374.9,0.283,24.7,2.5,146,78
371.3,0.28,24.7,2.5,151,77
371.3,0.28,24.7,2.5,151,77
374.9,0.276,23.9,2.5,115,74
374.9,0.276,23.9,2.5,115,74
377.1,0.28,24.7,2.5,135,62
369.5,0.28,24.5,2.5,129,69
375.3,0.28,24.5,2.5,129,69
374.4,0.284,23.8,2.5,127,78
370.2,0.284,23.8,2.5,127,78
380.7,0.3,22.9,2.5,119,79
380.7,0.297,22.9,2.5,119,79
382.3,0.302,22.5,2.5,119,79
384.1,0.3,22.5,2.5,116,76
382.7,0.302,22.5,2.5,112,77
382.7,0.302,22.5,2.5,112,77
395.7,0.317,22.4,2.5,141,80
395.7,0.317,22.4,2.5,141,80
399.1,0.322,22.4,2.5,141,80
412.5,0.36,21.9,2.5,141,80
374.6,0.29,24.7,2.5,67,58
374.6,0.29,24.7,2.5,67,58
370.4,0.295,24.7,2.5,66,58
368.5,0.298,23.6,2.5,69,69
368.7,0.3,23.6,2.5,69,69
373.1,0.3,23.6,2.5,69,69
373.1,0.3,23.6,2.5,69,69
373.1,0.3,23.6,2.5,71,72
368.4,0.295,23.6,2.5,71,72
372.9,0.295,23.6,2.5,73,71
370.6,0.291,23.6,2.5,73,71
370.6,0.291,23.6,2.5,73,71
370.6,0.291,23.6,2.5,77,73
370.8,0.291,23.6,2.5,77,73
367.2,0.298,23.8,2.5,71,72
371.3,0.298,23.6,2.5,71,72
371.3,0.298,23.6,2.5,71,72
367.2,0.288,23.6,2.5,78,74
384.4,0.315,22.7,2.5,78,74
382.7,0.315,22.5,2.5,78,74
367.2,0.288,23.6,2.5,78,74
382.1,0.317,22.3,2.5,76,71
385,0.317,22.3,2.5,76,71
385.3,0.317,22.3,2.5,79,72
380.9,0.317,22.3,2.5,79,71
380.9,0.317,22.3,2.5,79,71
381.66,0.321,22.3,2.5,81,73
383.85,0.321,22.3,2.5,81,73
385.16,0.321,22.3,2.5,81,73
385.19,0.321,22.3,2.5,81,73
383.85,0.321,22.3,2.5,81,73
384.63,0.321,22.3,2.5,81,72
385.21,0.321,22.3,2.5,81,72
394.11,0.328,22.7,2.5,83,72
394.11,0.328,22.7,2.5,83,72
394.15,0.335,23.3,2.5,83,72
371,0.31,24.2,2.5,102,76
371,0.31,24.2,2.5,102,76
367.5,0.286,23.9,2.5,86,76
369.77,0.292,23.6,2.5,106,79
369.74,0.292,23.6,2.5,106,79
369.89,0.291,23.6,2.5,106,79
374.17,0.291,23.6,2.5,108,80
374.17,0.291,23.6,2.5,108,80
372.8,0.297,23.7,2.5,102,80
376.4,0.297,23.7,2.5,102,80
376.4,0.297,23.7,2.5,102,80
384,0.317,22.3,2.5,102,80
373.2,0.295,23.7,2.5,110,79
373.82,0.295,23.6,2.5,110,81
372.73,0.295,23.6,2.5,110,81
373.7,0.295,23.6,2.5,108,77
373.58,0.295,23.6,2.5,108,77
372.68,0.295,23.6,2.5,108,77
371.77,0.295,23.6,2.5,109,81
372.72,0.295,23.6,2.5,109,81
375.72,0.295,23.6,2.5,107,79
374.72,0.3,23.6,2.5,108,78
370.09,0.3,23.6,2.5,108,80
373.02,0.3,23.6,2.5,108,80
371.2,0.295,23.1,2.5,91,77
371.2,0.295,23.1,2.5,91,77
370.2,0.295,23.1,2.5,92,77
384,0.317,22.3,2.5,95,77
384,0.317,22.3,2.5,95,77
387.25,0.326,22.3,2.5,95,77
369.99,0.282,24,2.5,111,75
374.77,0.287,24,2.5,111,75
368.2,0.282,24.2,2.5,111,73
368.2,0.282,24.2,2.5,111,73
368.8,0.282,24.2,2.5,111,73
368.3,0.284,24,2.5,111,73
368.8,0.282,24.2,2.5,120,76
365.3,0.282,24,2.5,125,75
369.5,0.282,24,2.5,119,73
369.5,0.282,24,2.5,119,73
371.4,0.276,24,2.5,116,73
364.61,0.276,24,2.5,116,73
369.42,0.273,24.3,2.5,117,77
369.47,0.273,24.3,2.5,117,77
367.34,0.273,24.3,2.5,117,77
365.76,0.273,24.3,2.5,117,77
367.99,0.273,24.3,2.5,117,77
370.6,0.285,23.6,2.5,106,74
370.6,0.285,23.6,2.5,106,74
